"back_camera","battery","display","name","price","ram"
"67","5000","6.6","SamsungGalaxyA555G","94,500","8"
"272","5000","6.8","SamsungGalaxyS24Ultra","316,999","12"
"72","4000","6.2","SamsungGalaxyS24","208,999","8"
"60","5000","6.5","SamsungGalaxyA25","59,999","8"
"70","4500","6.4","SamsungGalaxyS23FE","119,499","8"
"24","3700","6.7","SamsungGalaxyZFlip5","224,999","8"
"67","5000","6.4","SamsungGalaxyA545G","79,500","8"
"232","5000","6.8","SamsungGalaxyS23Ultra","269,999","12"
"24","3700","6.7","SamsungGalaxyZFlip4","184,999","8"
"72","3700","6.1","SamsungGalaxyS22","170,999","8"
"30","4500","6.4","SamsungGalaxyS21FE","99,999","6"
"310","5000","6.9","SamsungGalaxyS25Ultra(12-256)","339,999","12"
"52","5000","6.7","SamsungGalaxyA06","22,499","4"
"272","5000","6.8","SamsungGalaxyS24Ultra(12-256)","314,999","12"
"61","5000","6.6","SamsungGalaxyA34","68,199","6"
"130","5000","6.7","SamsungGalaxyA73","91,999","8"
"50","4400","7.6","SamsungGalaxyZFold6256","485,999","12"
"50","4400","7.6","SamsungGalaxyZFold6512","485,999","12"
"50","4400","7.6","SamsungGalaxyZFold61TB","485,999","12"
"200","5000","6.8","SamsungGalaxyS24Ultra128GB","450,000","12"
"200","5000","6.8","SamsungGalaxyS24Ultra256GB","480,000","12"
"50","4800","6.6","SamsungGalaxyS24+128GB","400,000","8"
"50","4800","6.6","SamsungGalaxyS24+256GB","430,000","8"
"50","4000","6.1","SamsungGalaxyS24 128GB","350,000","8"
"50","4000","6.1","SamsungGalaxyS24 256GB","380,000","8"
"232","5000","6.8","SamsungGalaxyS23Ultra128GB","430,000","12"
"232","5000","6.8","SamsungGalaxyS23Ultra256GB","460,000","12"
"50","4700","6.6","SamsungGalaxyS23+128GB","360,000","8"
"50","4700","6.6","SamsungGalaxyS23+256GB","390,000","8"
"50","3900","6.1","SamsungGalaxyS23 128GB","320,000","8"
"50","3900","6.1","SamsungGalaxyS23 256GB","350,000","8"
"228","5000","6.8","SamsungGalaxyS22Ultra128GB","420,000","12"
"228","5000","6.8","SamsungGalaxyS22Ultra256GB","450,000","12"
"50","4500","6.6","SamsungGalaxyS22+128GB","350,000","8"
"50","4500","6.6","SamsungGalaxyS22+256GB","380,000","8"
"50","3800","6.1","SamsungGalaxyS22 128GB","300,000","8"
"50","3800","6.1","SamsungGalaxyS22 256GB","330,000","8"
"50","4400","7.6","SamsungGalaxyZFold5 256GB","500,000","12"
"50","4400","7.6","SamsungGalaxyZFold5 512GB","550,000","12"
"50","3700","6.7","SamsungGalaxyZFlip5 256GB","350,000","8"
"50","3700","6.7","SamsungGalaxyZFlip5 512GB","380,000","8"
"58","5200","6.78","TecnoCamon40Pro","64,999","16"
"13","5000","6.75","TecnoSparkGo3","25,300","4"
"50","5200","6.6","Tecnospark40","37,600","6"
"50","5200","6.78","TecnoSpark40ProPlus","60,400","88"
"50","5200","6.78","TecnoSpark40pro","50,700","88"
"13","6000","6.67","TecnoSpark40C","29,799","4"
"13","5000","6.67","TecnoSparkGo2","25,799","4"
"108","5000","6.78","TecnoSPARK30Pro","46,999","8"
"110","5000","6.78","TecnoSpark20ProPlus","59,999","16"
"52","7000","6.78","TecnoPova6Neo","45,999","16"
"52","5000","6.78","TecnoCamon30","49,999","24"
"50","6500","6.59","VivoV70","153,999","12"
"50","6500","6.74","VivoY11d","39,599","4"
"8","6500","6.74","VivoY05","30,999","8"
"50","6510","6.78","VivoX300Pro","314,999","16"
"50","6210","6.77","VIVOV60Lite","72,999","8"
"50","6500","6.77","VIVOV60Lite5G","88,999","12"
"50","6500","6.68","VivoY21d","45,999","6"
"50","6500","6.77","VivoV60","134,999","12"
"52","6000","6.67","VivoY400","62,499","8"
"150","6000","6.53","VivoXFold5","419,999","16"
"108","6500","6.31","VivoX200FE","194,999","12"
"52","6500","6.68","VivoY29","54,299","8"
"13","5500","6.74","VivoY04","32,999","4"
"58","6500","6.77","VivoV50Lite5G","82,999","12"
"100","6000","6.77","VivoV50","124,999","12"
"300","6000","6.78","VivoX200Pro","278,499","16"
"52","5000","6.67","VivoY2004G","52,499","8"
"50","6000","6.78","Vivo X200 128GB","199,999","12"
"50","6000","6.78","Vivo X200 256GB","219,999","12"
"200","6000","6.78","Vivo X200 Pro 256GB","229,999","16"
"200","6000","6.78","Vivo X200 Pro 512GB","249,999","16"
"50","5700","6.31","Vivo X200 Pro Mini 256GB","189,999","16"
"64","4100","6.44","Vivo V40e 128GB","79,999","8"
"64","5000","6.58","Vivo Y200 GT 128GB","69,999","12"
"50","5000","6.67","Vivo T3 5G 128GB","59,999","8"
"64","4500","6.38","Vivo Y100 5G 128GB","54,999","8"
"108","4700","6.56","Vivo S18 Pro 256GB","99,999","12"
"64","4500","6.44","Vivo V30 Pro 128GB","89,999","12"
"50","5000","6.78","Vivo iQOO 12 256GB","109,999","16"
"16","3315","6.3","Vivo Z3 64GB","39,999","6"
"24","3260","6.3","Vivo V9 64GB","34,999","4"
"20","4000","5.88","Vivo X9 Plus 128GB","42,999","6"
"13","3260","6.22","Vivo Y81 32GB","22,999","3"
"13","2300","5.5","Vivo X5Max 16GB","29,999","2"
"20","3055","5.5","Vivo V5 Plus 64GB","39,999","4"
"20","4030","6.22","Vivo Y95 64GB","29,999","4"
"8","3000","5.5","Vivo V3 Max 32GB","24,999","4"
"5","2000","5.0","Vivo X3S 16GB","19,999","1"
"16","3000","5.5","Vivo Y66 32GB","27,999","3"
"48","4500","6.44","Vivo V19 128GB","49,999","8"
"48","4500","6.44","Vivo V19 256GB","54,999","8"
"48","4100","6.44","Vivo V17 Pro 128GB","54,999","8"
"48","4100","6.44","Vivo V17 Pro 256GB","59,999","8"
"13","5000","6.51","Vivo Y12s 64GB","22,999","4"
"13","5000","6.51","Vivo Y12s 128GB","22,999","4"
"48","4500","6.38","Vivo S1 Pro 128GB","39,999","6"
"48","4500","6.38","Vivo S1 Pro 256GB","44,999","6"
"13","5000","6.35","Vivo Y11 32GB","18,499","3"
"13","5000","6.35","Vivo Y11 64GB","22,499","3"
"48","4000","6.53","Vivo V15 128GB","34,999","6"
"48","4000","6.53","Vivo V15 256GB","39,999","6"
"48","4000","6.39","Vivo V15 Pro 128GB","44,999","6"
"48","3700","6.39","Vivo V15 Pro 256GB","49,999","6"
"48","4000","6.39","Vivo X27 Pro 128GB","59,999","8"
"48","4000","6.39","Vivo X27 Pro 256GB","64,999","8"
"13","5000","6.47","Vivo Y30 64GB","19,999","3"
"13","5000","6.47","Vivo Y30 128GB","24,999","4"
"16","4500","6.53","Vivo Z1 Pro 64GB","29,999","4"
"16","4500","6.53","Vivo Z1 Pro 128GB","34,999","6"
"12","3200","6.28","Vivo X21 64GB","34,999","4"
"12","3200","6.28","Vivo X21 128GB","39,999","6"
"64","4050","6.44","Vivo V23e 128GB","39,999","8"
"64","4050","6.44","Vivo V23e 256GB","44,999","8"
"50","5000","6.58","Vivo Y33s 64GB","29,999","4"
"50","5000","6.58","Vivo Y33s 128GB","34,999","8"
"48","4200","6.56","Vivo X60 Pro 256GB","109,999","12"
"48","4200","6.56","Vivo X60 Pro 512GB","119,999","12"
"64","4000","6.44","Vivo V20 Pro 128GB","49,999","8"
"64","4000","6.44","Vivo V20 Pro 256GB","54,999","8"
"50","5000","6.58","Vivo Y75 5G 128GB","54,999","8"
"50","5000","6.58","Vivo Y75 5G 256GB","59,999","8"
"50","5000","6.58","Vivo Y53s 64GB","29,999","6"
"50","5000","6.58","Vivo Y53s 128GB","34,999","6"
"48","3700","6.39","Vivo V15 Pro 128GB","44,999","6"
"48","3700","6.39","Vivo V15 Pro 256GB","49,999","6"
"50","4450","6.56","Vivo X70 Pro 128GB","99,999","8"
"50","4450","6.56","Vivo X70 Pro 256GB","109,999","8"
"50","4600","6.78","Vivo V27 128GB","79,999","8"
"50","4600","6.78","Vivo V27 256GB","84,999","8"
"50","4600","6.78","Vivo V27 Pro 128GB","89,999","8"
"50","4600","6.78","Vivo V27 Pro 256GB","94,999","8"
"64","4830","6.56","Vivo V25 Pro 128GB","79,999","8"
"64","4830","6.56","Vivo V25 Pro 256GB","85,999","8"
"50","4870","6.78","Vivo X90 Pro 256GB","199,999","12"
"50","4870","6.78","Vivo X90 Pro 512GB","229,999","12"
"64","4500","6.44","Vivo Y100 128GB","59,999","8"
"64","4500","6.44","Vivo Y100 256GB","64,999","8"
"64","4500","6.44","Vivo T2 Series 128GB","49,999","8"
"64","4500","6.44","Vivo T2 Series 256GB","54,999","8"
"64","4200","6.44","Vivo V23 5G 128GB","69,999","8"
"64","4200","6.44","Vivo V23 5G 256GB","74,999","8"
"50","4700","6.78","Vivo X80 256GB","179,999","12"
"50","4700","6.78","Vivo X80 512GB","199,999","12"
"13","5000","6.51","Vivo Y21 64GB","26,999","4"
"13","5000","6.51","Vivo Y21 128GB","29,999","4"
"13","8040","11.0","Vivo Pad 128GB","64,999","6"
"50","8040","11.0","Vivo Pad 2 256GB","74,999","8"
"13","8040","10.4","Vivo Pad Air 128GB","58,999","6"
"13","8040","11.0","Vivo Pad 3 128GB","62,999","6"
"50","8040","12.3","Vivo Pad 3 Pro 256GB","84,999","8"
"50","8040","12.9","Vivo Pad 4 Pro 256GB","94,999","8"
"50","6330","6.3","Xiaomi17","319,999","12"
"50","6000","6.9","Xiaomi17Ultra","479,999","16"
"50","6000","6.9","XiaomiPocoC85","42,199","8"
"50","7000","6.9","XiaomiRedmi15","42,999","8"
"50","6000","6.9","XiaomiRedmi15C","31,499","4"
"32M","5200","6.88","XiaomiRedmiA5","24,499","4"
"350","5410","6.73","Xiaomi15Ultra","372,999","16"
"210","5500","6.67","XiaomiRedmiNote14Pro","69,999","8"
"112","5500","6.7","XiaomiRedmiNote14","48,999","8"
"50","5160","6.88","XiaomiPocoC75","36,999","8"
"52","5160","6.88","XiaomiRedmi14C","31,999","4"
"110","5030","6.79","XiaomiRedmi13","37,999","8"
"118","5000","6.67","XiaomiRedmiNote13","49,999","6"
"150","4610","6.3","Xiaomi14","302,999","12"
"60","5000","6.67","XiaomiRedmiNote12","41,999","8"
"50","5500","6.83","Xiaomi15T","169,999","12"
"112","5500","6.83","Xiaomi15TPro","234,999","12"
"210","5110","6.7","XiaomiRedmiNote14ProPlus","125,999","12"
"58","6000","6.67","XiaomiPocoX7pro","137,999","12"
"58","5000","6.67","PocoF6","131,999","12"
"60","5000","6.67","PocoF6Pro","169,999","12"
"8","5000","6.71","XiaomiRedmiA3x","19,899","3"
"8","5000","6.71","XiaomiRedmiA3","21,999","4"
"210","5000","6.67","XiaomiRedmiNote13ProPlus","126,499","8"
"74","5000","6.67","PocoX6Pro5G","122,099","12"
"74","5000","6.67","PocoM6Pro","83,999","12"
"52","5000","6.74","XiaomiRedmi13C","29,499","6"
"60","5000","6.79","XiaomiRedmi12","33,499","8"
"8","5000","6.52","XiaomiRedmiA2Plus","19,999","3"
"50","5000","6.71","XiaomiRedmi12C","22,999","4"
"50","7000","6.8","RealmeC85Pro","52,999","8"
"50","7000","6.8","RealmeC85","47,999","8"
"50","7000","6.57","Realme15T5G","78,999","8"
"50","7000","6.8","Realme15pro","141,499","12"
"13","6300","6.74","RealmeNote70","31,199","4"
"58","7000","6.8","RealmeGT7T","164,999","12"
"52","6000","6.67","Realme14T5G","67,999","12"
"52","6000","6.67","Realme145G","85,499","12"
"50","6300","6.72","RealmeC71","36,499","6"
"50","5600","6.67","RealmeC75x","37,999","6"
"8","5000","6.74","RealmeNote60x","20,999","4"
"54","5000","6.5","RealmeC25Y","23,499","4"
"58","7000","6.77","Realme155G","105,499","12"
"50","6000","6.72","RealmeC75","38,499","8"
"50","5000","6.67","Realme135G","75,999","12"
"32","5000","6.74","RealmeNote60","21,999","4"
"60","5000","6.7","Realme125G","66,499","16"
"8","5000","6.5","RealmeC112021","18,299","4"
"50","7000","6.8","RealmeC85Pro","52,999","8"
"50","7000","6.8","RealmeC85","47,999","8"
"50","7000","6.57","Realme15T5G","78,999","8"
"50","7000","6.8","Realme15pro","141,499","12"
"13","6300","6.74","RealmeNote70","31,199","4"
"58","7000","6.8","RealmeGT7T","164,999","12"
"52","6000","6.67","Realme14T5G","67,999","12"
"52","6000","6.67","Realme145G","85,499","12"
"50","6300","6.72","RealmeC71","36,499","6"
